Painting,Vertices,Vertices Per Polygon,Replication,MSE
Vrouw Met De Hermelijn,240,5,1,1187.058101851852
Vrouw Met De Hermelijn,240,5,1,1283.6259027777778
Vrouw Met De Hermelijn,240,5,1,1244.2836574074076
Vrouw Met De Hermelijn,240,5,2,1254.716550925926
Vrouw Met De Hermelijn,240,5,2,1239.786412037037
Vrouw Met De Hermelijn,240,5,2,1209.4134027777775
Vrouw Met De Hermelijn,240,5,2,1184.2645370370371
Vrouw Met De Hermelijn,240,5,2,1177.5100925925924
Vrouw Met De Hermelijn,240,6,1,1198.2971527777775
Vrouw Met De Hermelijn,240,6,1,1312.7371990740742
Vrouw Met De Hermelijn,240,6,1,1211.7972453703705
Vrouw Met De Hermelijn,240,6,1,1303.4534722222222
Vrouw Met De Hermelijn,240,6,1,1174.3143055555556
Vrouw Met De Hermelijn,240,6,2,1183.5239583333334
